,Title,Year,Album,Length
0,12 Bar Bruise,2012,12 Bar Bruise[1],3:47
1,2.02 Killer Year,2021,Butterfly 3000[2],3:19
2,30 Past 7,2013,Float Along - Fill Your Lungs[3],3:43
3,A Brief History of Planet Earth,2020,Chunky Shrapnel[4],19:03
4,A Journey to S(Hell),2017,Sketches of Brunswick East[5],2:16
5,A New World,2017,Murder of the Universe[6],0:57
6,ABABCd.,2014,Oddments[7],0:17
7,Acarine,2019,Fishing for Fishies[8],5:24
8,All Is Known,2017,Gumboot Soup[9],3:34
9,Alluda Majaka,2014,Oddments[7],3:34
10,Alter Me I,2017,Murder of the Universe[6],0:45
11,Alter Me II,2017,Murder of the Universe[6],1:25
12,Alter Me III,2017,Murder of the Universe[6],1:26
13,Altered Beast I,2017,Murder of the Universe[6],2:23
14,Altered Beast II,2017,Murder of the Universe[6],4:28
15,Altered Beast III,2017,Murder of the Universe[6],2:14
16,Altered Beast IV,2017,Murder of the Universe[6],5:10
17,Am I in Heaven,2014,I'm in Your Mind Fuzz[10],7:06
18,Ambergris,2022,Omnium Gatherum[11],4:27
19,Anamnesis,2020,Chunky Shrapnel[4],3:10
20,Anoxia,2017,Flying Microtonal Banana[12],3:04
21,Antarctica,2024,Flight b741[13],4:32
22,Ants and Bats,2010,Teenage Gizzard[14],3:11
23,Astroturf,2022,Changes[15],7:33
24,Ataraxia,2021,L.W.[16],5:18
25,Automation,2020,K.G.[17],3:30
26,Barefoot Desert,2017,Gumboot Soup[9],3:43
27,Beginner's Luck,2017,Gumboot Soup[9],4:25
28,Big Fig Wasp,2016,Nonagon Infinity[18],4:54
29,Billabong Valley,2017,Flying Microtonal Banana[12],3:34
30,Black Hot Soup,2021,Butterfly 3000[2],5:12
31,Black Tooth,2011,Willoughby's Beach[19],2:30
32,Blame It On The Weather,2022,Omnium Gatherum[11],2:31
33,Bloody Ripper,2012,12 Bar Bruise[1],2:13
34,Blue Morpho,2021,Butterfly 3000[2],3:51
35,Bone,2015,Paper Mâché Dream Balloon[20],2:16
36,Boogieman Sam,2019,Fishing for Fishies[8],4:41
37,Butterfly 3000,2021,Butterfly 3000[2],2:51
